,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector
PRF1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
LRRC52,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
DOK7,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ART3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GATA5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
AC018755.18,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
KLRC4-KLRK1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CLEC5A,0.0,0.0009821566904496019,0.6000000000000001,0.022466327644146987,1.8430992152555952e-28,1.8430992152555952e-28,4.217863452887916e-27
FILIP1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ADCY5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ITGB1BP2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CPT1B,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GPX3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
RGS6,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SGCA,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CST7,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TLR8,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
RHAG,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
C2CD4B,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
HABP2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PPARGC1A,0.00042413599191988387,0.0024658773744084036,0.08082706766917294,0.023145131105000064,1.1696747826499255e-14,1.169674782649926e-14,2.5660728084080452e-14
PPP1R12B,0.0,0.0007997659965088463,0.11280167890870935,0.022464172060494187,8.944944628029536e-11,8.944944628029534e-11,1.597573084581181e-10
