,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
DEFB115,-3.10730450630354,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.198266194814424
PCMTD1P1,-3.10647657151105,,,,,,,,,4.10647657151105
RP11-488C13.1,-3.10429846263555,,,,,,,,,4.104298462635549
GDF15,-3.10110078627952,0.0,0.0011932462263587948,1.0,0.022185256557473998,3.3520905268548613e-37,3.3520905268548596e-37,1.855931868470039e-34,0.0005,8.398370984370532
SPRR1B,-3.10010483890601,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.19090708126378
LRAT,-3.0993453970488503,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.190130820562644
PRR11,-3.0985281000105096,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.189295423400852
KDF1,-3.0984764499846804,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.189242629516914
ISL1,-3.0977207595722995,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.188470203341262
RP11-417L14.1,-3.09722455691832,,,,,,,,,4.09722455691832
TRIML2,-3.0963065425241805,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.187024666586893
LEFTY2,-3.09617116534685,0.0,0.0011932462263587948,1.0,0.022185256557473998,3.3520905268548613e-37,3.3520905268548596e-37,1.855931868470039e-34,0.0005,8.388275942194685
HOXB6,-3.09477501880934,0.00014067820887897646,0.0015562874703543257,0.1696708463949843,0.02463790101914806,1.4898491921438756e-05,1.489849192143875e-05,1.4899324215992272e-05,0.0011715441422295476,4.921851298906506
HS3ST5,-3.09411041947304,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.184779907487316
EIF2S3L,-3.09348447724675,0.0,0.0005674803896895845,0.15779883381924198,0.022187593286527908,1.5408301603566313e-07,1.540830160356631e-07,1.5409232973211978e-07,8.775208014043141e-05,4.847764947359406
CAMK2N1,-3.09092323961319,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.181522143315737
YWHAZP2,-3.0877681906041605,,,,,,,,,4.0877681906041605
PDCD1LG2,-3.08745009269358,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.177972078965785
RAD21L1,-3.0872735930367594,2.8923235190582894e-05,0.0005715980207096782,0.21704260651629073,0.022444945465062774,8.576488243835232e-05,8.576488243835232e-05,8.576658680883647e-05,0.00013587805042208678,5.0910914791545165
ONECUT1,-3.08475808744253,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.1752204556993835
ELOVL4,-3.0843200051342303,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.174772671479182
CXCL6,-3.0835990891763196,1.0015017518769395e-06,0.0015491266798342228,0.75,0.022409372696048334,1.06533124243027e-31,1.06533124243027e-31,2.2529713730918349e-29,0.0006666666666666668,7.322646916422701
LCE1C,-3.08336136083135,0.0,0.0006833980139089967,0.092206132879046,0.022189740459042855,5.532931138466476e-14,5.532931138466475e-14,5.542689928720064e-14,8.859009454832096e-05,4.562355373321519
TUBBP6,-3.08288754810614,,,,,,,,,4.0828875481061395
COTL1,-3.08237895692685,9.436151000056179e-05,0.0011410296792264947,0.19726651480637813,0.022922045315657353,3.5924662537059014e-06,3.5924662537059005e-06,3.5926453868930165e-06,0.0002907909995376646,5.0074184098657275
LIMA1,-3.0813322570634103,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.171718755777268
CDHR2,-3.07993127431951,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.170286746418281
NLRP3P1,-3.07852053233612,,,,,,,,,4.07852053233612
KCNK5,-3.07823701412069,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.168554964587396
MAGED4B,-3.07651354621485,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.166793328206205
OASL,-3.07549455323467,0.0004870037588033414,0.0007797555853678148,0.22216521292970753,0.022992782581688357,0.0015943619320443632,0.001594361932044363,0.0015943649166798943,0.00023751722646468717,5.127569114713247
C2ORF78,-3.0740159957949307,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.164240466230254
MXRA8,-3.07323932347006,0.0,0.0011932462263587948,1.0,0.022185256557473998,3.3520905268548613e-37,3.3520905268548596e-37,1.855931868470039e-34,0.0005,8.341315351496567
AC090094.1,-3.0722239931116895,,,,,,,,,4.07222399311169
RP11-188I24.1,-3.0721766245277595,,,,,,,,,4.07217662452776
COL8A1,-3.0714361935120396,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.161603530815083
SIX4,-3.0708789315798395,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.161033927580645
UBE2S,-3.06848288777647,0.00028457961120039425,0.00042831337556293713,0.23856749311294764,0.02254325756103653,0.005551343531523826,0.005551343531523825,0.005551346145588104,0.0002127359432599541,5.243829251924939
RP11-640N20.6,-3.0663124191222204,,,,,,,,,4.06631241912222
