,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector
KCNK2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PLA2G3,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PRSS12,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
TMEM8C,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
KRTAP1-1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
HOXA11,2.797836614834785e-05,0.0004763126977269679,0.21029626032054394,0.022454689572662473,0.000940589483685709,0.000940589483685709,0.000940591096452785
NKX1-2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
CAMKV,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
SLC6A15,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PCSK9,0.00021632437840541895,0.0009548193638004739,0.20366886171213547,0.022424306234585172,1.678999435958677e-05,1.6789994359586767e-05,1.6790116732000995e-05
HOXC10,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
FMN2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
LRRC15,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
STMN2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
ZIC3,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
LIN28A,0.0,0.0011932462263587946,1.0,0.022185256557473998,3.3520905268548605e-37,3.3520905268548605e-37,1.8559318684700406e-34
MAGEC2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
DAZL,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
UBL4B,0.0004870037588033414,0.0007797555853678148,0.22216521292970753,0.022992782581688357,0.0015943619320443632,0.0015943619320443632,0.0015943649166798946
FGF19,0.0,0.0005069509973328136,0.13105326876513318,0.022196498826600224,3.86725781164597e-09,3.86725781164597e-09,3.868148396354877e-09
KRT33B,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
FOXQ1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
SBSN,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
SERPINB2,0.0,0.0006280418869928076,0.13069725324479323,0.022196401496195447,1.4287877231364858e-07,1.4287877231364856e-07,1.428843443785715e-07
PITX1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
ZIC4,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
FOXL2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
TRIM71,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
HES3,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
FOXA3,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PSG1,4.757133321415463e-06,0.001956019386846292,0.75,0.02286229204396033,2.3053306572043356e-26,2.305330657204336e-26,1.9252769374264307e-24
GALNT5,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
KLRG2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
LCE3D,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
OR2A25,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
FOXF1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
KPRP,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
MKX,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
NLRP10,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
L1TD1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
IL13RA2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
LARGE2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
FOXE1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
HOXD13,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
VRTN,0.0,0.0011932462263587946,1.0,0.022185256557473998,3.3520905268548605e-37,3.3520905268548605e-37,1.8559318684700406e-34
SEMG1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
GLDC,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
GREM2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
SYT6,0.0,0.0011932462263587946,1.0,0.022185256557473998,3.3520905268548605e-37,3.3520905268548605e-37,1.8559318684700406e-34
RAB3B,0.0,0.0011932462263587946,1.0,0.022185256557473998,3.3520905268548605e-37,3.3520905268548605e-37,1.8559318684700406e-34
OXTR,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
SP9,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
WNT16,0.0,0.000646530129270232,0.43478260869565216,0.022198666770089054,2.7370425417969046e-25,2.7370425417969055e-25,1.7840527065584916e-23
NKX2-3,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
HOXC13,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
ALPPL2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
TMEM158,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
ELFN2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PSG9,2.503754379692349e-07,0.0010715175379675495,0.42857142857142855,0.02241172687552113,9.957744760292513e-27,9.957744760292514e-27,8.313454882897027e-25
MAGEC1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
KLHDC7A,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
AHRR,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
OR52A1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
ZSCAN10,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
