,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust
SYNPO,-1.020644970030843,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
PIK3CG,-1.0191460660477898,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ALDH1A2,-1.0189791831163495,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
IGHV4-4,-1.0185524863888495,,,,,,,,
CTD-2265D6.2,-1.0183586109463336,,,,,,,,
ACACB,-1.0181906094420656,-0.16138538859254842,2.1389633481199297,0.9447010291148126,0.41339073760075146,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.2067788226659084
ITGA7,-1.0180463069305143,-0.1636552691787419,0.4243792667300088,-0.9532506861535756,0.1458659438114419,-0.11239015350513488,-0.11239015350513488,-0.11239018506840713,-0.09285058943421946
MED28P8,-1.017795477744358,,,,,,,,
IGFN1,-1.0175063216269138,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RBM24,-1.0174712484863535,-0.1636552691787419,1.4639666306606494,1.6804360062726607,0.1403194613380425,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.0719774416434267
SLC25A34,-1.0168658768314915,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
GAB3,-1.0166143613814165,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
PCDH20,-1.016050954626104,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
DPY19L2,-1.014563070735102,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
KCNA2,-1.0137290907268022,-0.1636552691787419,0.9440427979506505,0.6994560367288631,0.1430231346363899,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.0368380878460286
GPR65,-1.0131658443989986,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
TFEC,-1.0130713246407441,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ADH1B,-1.0130010892036627,-0.1636552691787419,1.4639666306606494,1.6804360062726607,0.1403194613380425,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.0719774416434267
APOBR,-1.0115925149837643,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
BX004987.1,-1.0111050836385904,,,,,,,,
FGF21,-1.0106664811524761,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ADAM11,-1.0105834664728368,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RP11-50E11.2,-1.008745980851185,,,,,,,,
TFP1,-1.007999391838472,,,,,,,,
KRTAP5-2,-1.00706229706787,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
EPN3,-1.0056891239729717,-0.1636552691787419,0.9440427979506505,0.6994560367288631,0.1430231346363899,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.0590711862321252
SDPR,-1.0056185293902453,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
FCGR1B,-1.005285499952125,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ADCK3,-1.005235516989397,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
AC025263.3,-1.0050641233370674,,,,,,,,
RP11-755J8.1,-1.0027785232118145,,,,,,,,
GP9,-1.0021033284933225,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
NPPC,-1.0019751170117046,-0.1636552691787419,0.6919588963626452,-0.21145393499037743,0.14305071499791178,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,0.6333060366945975
RP11-65E10.1,-1.001048211794211,,,,,,,,
RPL35P6,-0.9995361189906573,,,,,,,,
AC093826.1,-0.9994553154641146,,,,,,,,
MTND3P22,-0.9992244120803222,,,,,,,,
OR10P1,-0.9992150674771795,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
PARP4P3,-0.9991252686793347,,,,,,,,
IGHV3-49,-0.9978880443830723,,,,,,,,
MPC1,-0.9975735087999668,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RP11-578F21.10,-0.9974997996023899,,,,,,,,
DPY19L2P4,-0.9971138899504497,,,,,,,,
TM4SF18,-0.996349242839166,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RP11-11C20.1,-0.9962314895620683,,,,,,,,
RP4-533D7.3,-0.9957437698278966,,,,,,,,
TTYH2,-0.9956914402113299,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
NUDT19P5,-0.9953170975986704,,,,,,,,
DEFA4,-0.994408527905394,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
SPDYE18,-0.9931959638432497,,,,,,,,
SLC9C1,-0.9925061125596698,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
AC073464.7,-0.992385935000864,,,,,,,,
C10ORF142,-0.9920484860873985,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
GNL2P1,-0.9917722869891522,,,,,,,,
TMEM56,-0.9910446181290825,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
DPPA5P1,-0.9894412212338551,,,,,,,,
IGLV10-54,-0.9881023168450203,,,,,,,,
SCN4B,-0.9864547297117405,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RNASE7,-0.9855553305994883,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
SPTA1,-0.98547475540283,-0.1636552691787419,0.5256653468278579,-0.9115709681625312,0.1430781031216992,-0.11239005425779387,-0.11239005425779387,-0.11239007645795701,0.2746044973114318
TPO,-0.984766022273414,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
CHCHD10,-0.9845287325055915,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
AKAP6,-0.9844646109778272,-0.1636552691787419,0.6919588963626452,-0.21145393499037743,0.14305071499791178,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,0.4663778197516707
FATE1,-0.9836014512598154,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ZNF705A,-0.9831112745951766,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ITIH6,-0.9830469566041421,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
HIF3A,-0.9825554426394851,-0.1636552691787419,1.4639666306606494,1.6804360062726607,0.1403194613380425,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.0719774416434267
HMGCLL1,-0.982342329703644,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
LINC00238,-0.9820803640666869,,,,,,,,
CH17-60O17.7,-0.981831044349319,,,,,,,,
IGHV6-1,-0.9817639205415307,,,,,,,,
RERG,-0.9808515594443376,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
